t,c,SMA,EMA,RSI,MACD,MACD_SIGNAL,MACD_DIFF
2021-04-30 04:00:00,252.18,256.2415,253.90705929818384,50.569251021720135,3.859862257860641,5.223359656868535,-1.363497399007894
2021-05-03 04:00:00,251.86,256.38100000000003,253.7121012697854,50.090684283270505,3.2473853239922903,4.828164790293286,-1.5807794663009958
2021-05-04 04:00:00,247.79,256.37750000000005,253.14809162504392,44.34279765302967,2.40584487353712,4.343700806942053,-1.9378559334049328
2021-05-05 04:00:00,246.47,256.206,252.51208289884926,42.63407234354964,1.613802128895145,3.7977210713326714,-2.1839189424375265
2021-05-06 04:00:00,249.73,256.03000000000003,252.24712262276836,47.96689628819439,1.2349218915956897,3.2851612353852753,-2.0502393437895856
2021-05-07 04:00:00,252.46,255.8605,252.2673966586952,51.99173914977266,1.141782994661952,2.856485587240611,-1.714702592578659
2021-05-10 04:00:00,247.18,255.42399999999998,251.7828826912004,44.777579201243135,0.6346025711991956,2.412108984032328,-1.7775064128331324
2021-05-11 04:00:00,246.23,254.81099999999998,251.2540367206099,43.60521060537925,0.15422357764634853,1.9605319027551322,-1.8063083251087837
2021-05-12 04:00:00,239.0,253.98149999999995,250.08698560436133,35.90127252348928,-0.8006514010933188,1.4082952419854422,-2.208946643078761
2021-05-13 04:00:00,243.03,253.158,249.4148917372793,42.04736403049697,-1.2181671092102135,0.883002771746311,-2.1011698809565247
2021-05-14 04:00:00,248.15,252.52849999999998,249.2944258575384,48.768412480441555,-1.1229652610486767,0.48180916518731354,-1.6047744262359902
2021-05-17 04:00:00,245.18,251.8505,248.9025757758681,45.47385721580201,-1.2725026704828508,0.13094679805328063,-1.4034494685361314
2021-05-18 04:00:00,243.08,251.0915,248.34804474959492,43.24909923231039,-1.542681522085303,-0.20377886597443606,-1.338902656110867
2021-05-19 04:00:00,243.12,250.2185,247.85013572582398,43.30599546278508,-1.7335888101261503,-0.5097408548047789,-1.2238479553213715
2021-05-20 04:00:00,246.48,249.68400000000003,247.71964660907884,48.0202088285491,-1.595369861324798,-0.7268666561087828,-0.8685032052160152
2021-05-21 04:00:00,245.17,248.88500000000005,247.4768231224999,46.40023145305452,-1.5733992335023856,-0.8961731715875034,-0.6772260619148822
2021-05-24 04:00:00,250.78,248.34650000000002,247.79141139654755,53.61667231429543,-1.0907339355389354,-0.9350853243777899,-0.15564861116114548
2021-05-25 04:00:00,251.72,247.834,248.16556269211443,54.71680948015495,-0.6251615917152549,-0.8731005778452829,0.24793898613002807
2021-05-26 04:00:00,251.49,247.68050000000002,248.4821757690559,54.37696162246125,-0.2716201645973797,-0.7528044951957024,0.48118433059832266
